Charge: 0.666666666666667
Capa. file,Tx analy.,Tx simu.
1,0.4,1
2,0.210526315789474,0.206723532363271
3,0.123076923076923,0.119600419650595
4,0.0758293838862559,0.0716142863659171
5,0.0481203007518797,0.0455229667472517
6,0.0310830500242836,0.0300597545956302
7,0.0203013481363997,0.0198877890799617
8,0.0133535026863492,0.012817588833645
9,0.00882378285221887,0.00894038224695525
10,0.0058481202062833,0.00624914473384117
11,0.00388360560923115,0.00451580531861515
12,0.00258238443104636,0.00319299365962688
13,0.00171863084367529,0.00228070975687634
14,0.00114444264616319,0.00155088263467591
15,0.000762380097244875,0.00104912648816312
16,0.000507995207872598,0.000729827122200429
17,0.000338548817797018,0.000501756146512795
18,0.000225648283224996,0.000319299365962688
19,0.000150409562376977,0.000182456780550107
20,0.000100262987909895,9.12283902750536e-05
